id,station_name,district,daily_passengers,station_type
s1,Station 1,Central,1373,Terminal
s2,Station 2,North,1546,Transfer
s3,Station 3,South,892,Local
s4,Station 4,East,2100,Transfer
s5,Station 5,West,743,Local
s6,Station 6,Central,1890,Terminal
s7,Station 7,North,654,Local
s8,Station 8,South,1234,Transfer
s9,Station 9,East,987,Local
s10,Station 10,West,1567,Terminal
s11,Station 11,Central,876,Local
s12,Station 12,North,2345,Transfer
s13,Station 13,South,543,Local
s14,Station 14,East,1765,Terminal
s15,Station 15,West,1098,Transfer
s16,Station 16,Central,1987,Local
s17,Station 17,North,765,Transfer
s18,Station 18,South,1432,Terminal
s19,Station 19,East,654,Local
s20,Station 20,West,1876,Transfer
s21,Station 21,Central,1123,Local
s22,Station 22,North,2087,Terminal
s23,Station 23,South,876,Transfer
s24,Station 24,East,1543,Local
s25,Station 25,West,765,Transfer
s26,Station 26,Central,1654,Terminal
s27,Station 27,North,987,Local
s28,Station 28,South,1876,Transfer
s29,Station 29,East,1234,Local
s30,Station 30,West,2109,Terminal
s31,Station 31,Central,765,Transfer
s32,Station 32,North,1432,Local
s33,Station 33,South,1987,Terminal
s34,Station 34,East,876,Transfer
s35,Station 35,West,1543,Local
s36,Station 36,Central,2087,Transfer
s37,Station 37,North,654,Local
s38,Station 38,South,1654,Terminal
s39,Station 39,East,1098,Transfer
s40,Station 40,West,987,Local
s41,Station 41,Central,1876,Terminal
s42,Station 42,North,1123,Transfer
s43,Station 43,South,765,Local
s44,Station 44,East,1987,Terminal
s45,Station 45,West,1432,Transfer
s46,Station 46,Central,876,Local
s47,Station 47,North,2109,Terminal
s48,Station 48,South,1098,Transfer
s49,Station 49,East,1654,Local
s50,Station 50,West,2087,Transfer
